CityId,Han,age,card_age,cashAmt_mean,cashAmt_non_null_months,cashCnt_mean,cashCnt_non_null_months,cashTotalAmt,cashTotalCnt,education,idVerify,inCourt,isBlackList,isCrime,isDue,maritalStatus,monthCardLargeAmt,netLength,noTransWeekPre,onlineTransAmt,onlineTransCnt,publicPayAmt,publicPayCnt,sex,threeVerify,transAmt_mean?,transAmt_non_null_months,transCnt_mean,transCnt_non_null_months,transTotalAmt?,transTotalCnt,Default
一线城市,0,38,2,0,0,0,0,0,0,?小学,?不一致,0,0,0,0,?已婚,0,?无效,0.87,-7710,2,0,0,?女,?不一致,0,2,0,2,0,0,0
一线城市,0,39,19,0,0,0,0,0,0,?小学,?不一致,0,0,0,0,?未婚,400,?0-6个月,0.87,700,3,0,0,?男,?一致,180,5,1,5,900,5,0
二线城市,0,40,16,0,0,0,0,0,0,?小学,?None,0,0,0,0,?None,17250,?6-12个月,0.46,-164560,39,770,2,?女,?一致,2378.89,9,0.33,9,21410,3,0
其它,0,38,13,22000,1,6,1,22000,6,?本科以上,?None,0,0,0,0,?未婚,176800,?24个月以上,0.69,12660,7,0,0,?男,?一致,28008,10,1.5,10,280120,15,0
二线城市,0,24,8,0,0,0,0,0,0,?小学,?None,0,0,0,0,?已婚,3720,?12-24个月,0.83,-5260,15,4170,8,?男,?一致,842,5,1.8,5,4220,9,0
其它,0,22,9,2100,1,5,1,2100,5,?初中,?一致,0,0,0,0,?未婚,600,?12-24个月,0.87,-170,12,600,7,?女,?None,150,4,0.25,4,600,1,0
二线城市,0,33,27,1800,5,3.2,5,9000,16,?小学,?一致,0,0,0,0,?未婚,16980,?24个月以上,0.52,20700,21,4970,3,?男,?一致,3188.89,9,2.67,9,28720,24,0
其它,0,27,51,0,0,0,0,0,0,?小学,?None,0,0,0,1,?None,0,?24个月以上,0,0,0,0,0,?女,?不一致,0,0,0,0,0,0,0
二线城市,0,27,47,1533.33,3,1.67,3,4600,5,?小学,?None,0,0,0,0,?已婚,299210,?无效,0.12,-55270,73,-187830,21,?女,?不一致,78453.33,12,11.83,12,941510,147,0
二线城市,0,25,32,0,0,0,0,0,0,?初中,?不一致,0,0,0,0,?未婚,12140,?24个月以上,0.9,-18350,6,11410,1,?男,?不一致,4046.67,3,0.67,3,12140,2,0
二线城市,0,35,12,750,6,2,6,4500,12,?高中,?None,0,0,0,0,?未婚,2140,?24个月以上,0.71,-90,3,390,2,?女,?一致,402.22,9,1.11,9,3630,10,0
二线城市,0,41,2,0,0,0,0,0,0,?小学,?None,0,0,0,0,?未婚,0,?6-12个月,0.92,0,10,0,7,?男,?不一致,0,2,0.5,2,0,1,0
一线城市,0,29,68,933.33,3,1.33,3,2800,4,?小学,?一致,0,0,0,1,?已婚,1120,?无效,0.73,0,0,0,0,?男,?一致,347.78,9,1.22,9,3150,9,0
一线城市,0,35,16,3500,3,2.33,3,10500,7,?小学,?一致,0,0,0,0,?已婚,63090,?24个月以上,0.67,74560,9,0,4,?男,?一致,8055,10,1.8,10,80570,18,0
其它,0,32,13,100,1,1,1,100,1,?None,?None,0,0,0,0,?None,1750,?24个月以上,0.92,0,0,0,0,?男,?一致,743.33,3,1.67,3,2240,5,0
二线城市,0,44,72,0,0,0,0,0,0,?小学,?一致,0,0,0,0,?未婚,4000,?24个月以上,0.98,4000,1,0,0,?男,?一致,4000,1,1,1,4000,1,0
二线城市,0,43,42,2962.5,8,4.63,8,23700,37,?初中,?None,0,0,0,0,?未婚,1610,?24个月以上,0.54,0,0,0,0,?男,?一致,445,8,1,8,3560,8,0
其它,0,29,14,900,1,1,1,900,1,?小学,?None,0,0,0,0,?未婚,230,?24个月以上,0.88,0,0,0,0,?男,?一致,43.33,6,0.83,6,260,5,0
其它,0,32,22,1200,1,1,1,1200,1,?初中,?不一致,0,0,0,0,?未婚,210,?24个月以上,0.92,0,0,420,2,?男,?一致,120,4,0.75,4,480,3,0
一线城市,0,55,25,0,0,0,0,0,0,?高中,?None,0,0,0,0,?已婚,0,?24个月以上,0,0,0,0,0,?女,?一致,0,0,0,0,0,0,0
一线城市,0,36,60,1600,1,2,1,1600,2,?初中,?None,0,0,0,0,?已婚,14000,?24个月以上,0.79,24840,9,0,0,?男,?一致,6008.33,6,1.33,6,36050,8,0
二线城市,0,46,30,3400,3,2,3,10200,6,?初中,?None,0,0,0,0,?未婚,2190,?无效,0.9,0,0,0,0,?女,?一致,547.5,4,0.25,4,2190,1,0
二线城市,0,29,6,3550,4,2.5,4,14200,10,?小学,?None,0,0,0,0,?未婚,92170,?无效,0.63,15000,2,0,1,?男,?一致,29093.33,6,8.5,6,174580,57,0
二线城市,0,23,11,100,3,1,3,300,3,?小学,?不一致,0,0,0,1,?未婚,32000,?24个月以上,0.38,360,46,1670,21,?男,?一致,4448.75,8,1.5,8,35610,10,0
一线城市,0,26,25,0,0,0,0,0,0,?高中,?一致,0,0,0,0,?未婚,500,?24个月以上,0.79,-4170,12,1290,8,?男,?None,322.5,4,1.5,4,1290,6,0
二线城市,0,43,10,1300,4,2.75,4,5200,11,?高中,?None,0,0,0,0,?None,230,?24个月以上,0.79,0,0,0,0,?男,?一致,48.33,6,0.67,6,290,4,0
二线城市,0,36,4,0,0,0,0,0,0,?本科以上,?不一致,0,0,0,0,?已婚,400,?无效,0.98,0,0,0,0,?男,?不一致,400,1,1,1,400,1,0
二线城市,0,27,21,300,1,1,1,300,1,?小学,?一致,0,0,0,0,?未婚,200,?24个月以上,0.88,890,5,710,4,?男,?一致,146.67,6,1,6,890,6,0
二线城市,1,30,5,0,0,0,0,0,0,?高中,?一致,1,1,0,1,?未婚,20000,?6-12个月,0.94,-13620,6,780,3,?女,?一致,6926.67,3,0.67,3,20780,2,0
一线城市,0,33,14,525,4,1.25,4,2100,5,?小学,?None,0,0,0,0,?未婚,18080,?24个月以上,0.54,-84670,150,3310,9,?男,?一致,4337.5,8,3.88,8,34720,33,0
二线城市,0,27,13,642.86,7,2.71,7,4500,19,?初中,?None,0,0,0,0,?未婚,1430,?12-24个月,0.29,-60740,93,1020,3,?女,?一致,281,10,3.3,10,2830,33,0
其它,0,29,62,5000,1,1,1,5000,1,?本科以上,?不一致,0,0,0,0,?已婚,20000,?24个月以上,0.83,17460,5,7280,2,?男,?一致,8592,5,1.4,5,42970,7,0
一线城市,0,31,15,0,0,0,0,0,0,?高中,?不一致,0,0,0,0,?未婚,30000,?24个月以上,0.92,40000,3,4500,1,?男,?一致,14833.33,3,1.33,3,44500,4,0
二线城市,0,29,18,760,5,1.4,5,3800,7,?小学,?None,0,0,0,0,?未婚,2860,?24个月以上,0.56,-4530,18,1300,2,?男,?一致,828,10,1,10,8310,10,0
一线城市,0,28,24,7600,2,3.5,2,15200,7,?本科以上,?None,0,1,0,1,?已婚,0,?0-6个月,0.58,-86940,27,0,0,?女,?不一致,0,10,0,10,0,0,0
二线城市,0,40,22,8242.86,7,5.57,7,57700,39,?初中,?None,0,0,0,0,?已婚,20310,?24个月以上,0.06,29220,189,51210,69,?女,?一致,9150.83,12,8.67,12,109860,105,0
一线城市,0,30,16,0,0,0,0,0,0,?小学,?None,0,0,0,0,?未婚,10,?无效,0.94,10,7,0,6,?男,?一致,10,1,1,1,10,1,0
其它,1,31,4,0,0,0,0,0,0,?小学,?不一致,0,0,0,0,?未婚,2860,?24个月以上,0.96,5720,2,0,0,?女,?不一致,2860,2,1,2,5720,2,0
二线城市,0,49,26,4990,10,3,10,49900,30,?小学,?一致,0,0,0,0,?未婚,11000,?24个月以上,0.62,8200,4,1000,1,?女,?一致,1359,10,0.9,10,13610,9,0
其它,0,40,3,0,0,0,0,0,0,?初中,?None,0,0,0,0,?已婚,1810,?24个月以上,0.98,0,0,0,0,?男,?一致,1810,1,1,1,1810,1,0
二线城市,0,31,29,466.67,3,1,3,1400,3,?本科以上,?一致,0,0,0,0,?已婚,99910,?无效,0.21,-1384530,231,4410,3,?男,?一致,27358.33,12,4.5,12,328330,54,0
一线城市,1,52,23,0,0,0,0,0,0,?小学,?不一致,0,0,0,0,?已婚,119750,?24个月以上,0.67,268540,45,108590,12,?男,?一致,53151.67,6,7.5,6,318930,48,0
其它,0,38,30,0,0,0,0,0,0,?小学,?None,1,1,0,0,?已婚,200,?24个月以上,0.94,0,0,0,0,?男,?一致,93.33,3,1,3,280,3,0
一线城市,0,24,7,5200,3,3.67,3,15600,11,?None,?None,0,0,0,1,?未婚,14900,?24个月以上,0.88,250,4,0,0,?男,?None,4332,5,1.2,5,21670,6,0
其它,0,30,45,0,0,0,0,0,0,?初中,?一致,0,0,0,0,?已婚,1230,?24个月以上,0.9,0,0,0,0,?男,?一致,1000,2,2.5,2,2010,5,0
二线城市,0,56,0,0,0,0,0,0,0,?高中,?None,0,0,0,0,?None,0,?24个月以上,0.4,-89400,10,-384200,50,?男,?一致,0,12,0.17,12,0,2,0
一线城市,0,37,28,1430,10,4.3,10,14300,43,?小学,?None,0,0,0,0,?已婚,49200,?24个月以上,0.12,-7810,123,2470,11,?男,?None,4902.5,12,5.92,12,58870,72,0
一线城市,0,46,70,5900,3,4,3,17700,12,?小学,?一致,0,0,0,0,?未婚,74460,?24个月以上,0.48,-52130,12,0,0,?男,?一致,11830,9,2,9,106500,18,0
二线城市,0,41,4,6033.33,3,3.33,3,18100,10,?小学,?None,0,0,0,0,?已婚,1980,?24个月以上,0.81,0,0,0,0,?男,?不一致,792.5,4,3.75,4,3180,15,0
其它,0,51,2,5500,1,5,1,5500,5,?高中,?None,0,0,0,0,?已婚,0,?24个月以上,0.98,0,0,0,0,?女,?一致,0,1,0,1,0,0,0
二线城市,0,32,23,333.33,3,1.33,3,1000,4,?高中,?不一致,0,0,0,0,?已婚,3060,?24个月以上,0.58,-79380,21,790,2,?男,?一致,1165,10,1.9,10,11680,18,0
